data,ptax
2020-11-11,5.402
2020-11-12,5.4094
2020-11-13,5.4854
2020-11-16,5.4198
2020-11-17,5.3968
2020-11-18,5.2932
2020-11-19,5.333
2020-11-20,5.3505
2020-11-23,5.3828
2020-11-24,5.4037
2020-11-25,5.3508
2020-11-26,5.3201
2020-11-27,5.3494
2020-11-30,5.3317
2020-12-01,5.2789
2020-12-02,5.2267
2020-12-03,5.1625
2020-12-04,5.1706
2020-12-07,5.1018
2020-12-08,5.092
2020-12-09,5.1109
2020-12-10,5.0852
2020-12-11,5.0691
2020-12-14,5.0578
2020-12-15,5.0968
2020-12-16,5.1057
2020-12-17,5.0612
2020-12-18,5.0986
2020-12-21,5.1572
2020-12-22,5.1473
2020-12-23,5.174
2020-12-24,5.18
2020-12-28,5.239
2020-12-29,5.1942
2020-12-30,5.1967
2020-12-31,5.1967
2021-01-04,5.1626
2021-01-05,5.3269
2021-01-06,5.3182
2021-01-07,5.3433
2021-01-08,5.3683
2021-01-11,5.4966
2021-01-12,5.4637
2021-01-13,5.307
2021-01-14,5.2617
2021-01-15,5.2714
2021-01-18,5.2788
2021-01-19,5.2945
2021-01-20,5.3033
2021-01-21,5.3166
2021-01-22,5.4301
2021-01-25,5.5089
2021-01-26,5.3865
2021-01-27,5.3824
2021-01-28,5.4282
2021-01-29,5.4759
2021-02-01,5.4608
2021-02-02,5.3875
2021-02-03,5.3423
2021-02-04,5.391
2021-02-05,5.3884
2021-02-08,5.367
2021-02-09,5.4216
2021-02-10,5.4024
2021-02-11,5.3626
2021-02-12,5.3815
2021-02-17,5.4138
2021-02-18,5.4238
2021-02-19,5.3924
2021-02-22,5.5044
2021-02-23,5.449
2021-02-24,5.4182
2021-02-25,5.46
2021-02-26,5.5302
2021-03-01,5.5832
2021-03-02,5.6844
2021-03-03,5.7342
2021-03-04,5.6008
2021-03-05,5.687
2021-03-08,5.7343
2021-03-09,5.8397
2021-03-10,5.7449
2021-03-11,5.589
2021-03-12,5.564
2021-03-15,5.6296
2021-03-16,5.5851
2021-03-17,5.6579
2021-03-18,5.5474
2021-03-19,5.5082
2021-03-22,5.5269
2021-03-23,5.4951
2021-03-24,5.533
2021-03-25,5.6585
2021-03-26,5.7042
2021-03-29,5.7925
2021-03-30,5.7642
2021-03-31,5.6973
2021-04-01,5.6849
2021-04-05,5.6579
2021-04-06,5.6263
2021-04-07,5.5864
2021-04-08,5.5817
2021-04-09,5.6445
2021-04-12,5.6582
2021-04-13,5.7064
2021-04-14,5.6936
2021-04-15,5.6234
2021-04-16,5.6328
2021-04-19,5.575
2021-04-20,5.5266
2021-04-22,5.497
2021-04-23,5.4787
2021-04-26,5.4566
2021-04-27,5.4424
2021-04-28,5.4005
2021-04-29,5.3662
2021-04-30,5.4036
2021-05-03,5.4087
2021-05-04,5.4505
2021-05-05,5.3872
2021-05-06,5.2897
2021-05-07,5.2217
2021-05-10,5.2227
2021-05-11,5.2403
2021-05-12,5.2353
2021-05-13,5.2815
2021-05-14,5.2701
2021-05-17,5.2755
2021-05-18,5.2588
2021-05-19,5.2822
2021-05-20,5.2905
2021-05-21,5.3027
2021-05-24,5.3198
2021-05-25,5.3143
2021-05-26,5.3164
2021-05-27,5.284
2021-05-28,5.2281
2021-05-31,5.2322
2021-06-01,5.1636
2021-06-02,5.1147
2021-06-04,5.0666
2021-06-07,5.0498
2021-06-08,5.0489
2021-06-09,5.0533
2021-06-10,5.0635
2021-06-11,5.119
2021-06-14,5.0707
2021-06-15,5.0874
2021-06-16,5.0207
2021-06-17,5.0359
2021-06-18,5.0314
2021-06-21,5.0373
2021-06-22,5.0178
2021-06-23,4.9519
2021-06-24,4.9277
2021-06-25,4.9206
2021-06-28,4.942
2021-06-29,4.945
2021-06-30,5.0022
2021-07-01,5.0055
2021-07-02,5.0293
2021-07-05,5.0749
2021-07-06,5.1645
2021-07-07,5.2328
2021-07-08,5.2587
2021-07-09,5.2393
2021-07-12,5.2239
2021-07-13,5.177
2021-07-14,5.088
2021-07-15,5.1
2021-07-16,5.0941
2021-07-19,5.1978
2021-07-20,5.2465
2021-07-21,5.2516
2021-07-22,5.1978
2021-07-23,5.1701
2021-07-26,5.1863
2021-07-27,5.1669
2021-07-28,5.1527
2021-07-29,5.0682
2021-07-30,5.1216
2021-08-02,5.1379
2021-08-03,5.2464
2021-08-04,5.2091
2021-08-05,5.1464
2021-08-06,5.241
2021-08-09,5.2774
2021-08-10,5.2217
2021-08-11,5.2013
2021-08-12,5.2351
2021-08-13,5.2474
2021-08-16,5.2495
2021-08-17,5.2585
2021-08-18,5.3025
2021-08-19,5.418
2021-08-20,5.4274
2021-08-23,5.3686
2021-08-24,5.3017
2021-08-25,5.2465
2021-08-26,5.2429
2021-08-27,5.22
2021-08-30,5.1952
2021-08-31,5.1433
2021-09-01,5.1576
2021-09-02,5.1735
2021-09-03,5.1685
2021-09-06,5.1773
2021-09-08,5.2524
2021-09-09,5.2825
2021-09-10,5.2158
2021-09-13,5.219
2021-09-14,5.226
2021-09-15,5.2576
2021-09-16,5.2594
2021-09-17,5.3103
2021-09-20,5.3332
2021-09-21,5.3044
2021-09-22,5.2783
2021-09-23,5.2891
2021-09-24,5.3435
2021-09-27,5.3478
2021-09-28,5.4206
2021-09-29,5.4173
2021-09-30,5.4394
2021-10-01,5.3911
2021-10-04,5.4204
2021-10-05,5.4611
2021-10-06,5.5097
2021-10-07,5.514
2021-10-08,5.5084
2021-10-11,5.5161
2021-10-13,5.5471
2021-10-14,5.4988
2021-10-15,5.451
2021-10-18,5.5193
2021-10-19,5.5521
2021-10-20,5.5571
2021-10-21,5.6423
2021-10-22,5.7117
2021-10-25,5.5973
2021-10-26,5.58
2021-10-27,5.5667
2021-10-28,5.6124
2021-10-29,5.643
2021-11-01,5.6694
2021-11-03,5.6672
2021-11-04,5.5942
2021-11-05,5.5455
2021-11-08,5.5627
2021-11-09,5.4957
2021-11-10,5.459
2021-11-11,5.4171
2021-11-12,5.4199
2021-11-16,5.4772
2021-11-17,5.4993
2021-11-18,5.547
2021-11-19,5.5584
2021-11-22,5.5841
2021-11-23,5.6456
2021-11-24,5.6027
2021-11-25,5.574
2021-11-26,5.5865
2021-11-29,5.6118
2021-11-30,5.6199
2021-12-01,5.6168
2021-12-02,5.6345
2021-12-03,5.6432
2021-12-06,5.6877
2021-12-07,5.6411
2021-12-08,5.5779
2021-12-09,5.5564
2021-12-10,5.5931
2021-12-13,5.6357
2021-12-14,5.6461
2021-12-15,5.7127
2021-12-16,5.6963
2021-12-17,5.6959
2021-12-20,5.7055
2021-12-21,5.7372
2021-12-22,5.7201
2021-12-23,5.691
2021-12-24,5.6591
2021-12-27,5.665
2021-12-28,5.6438
2021-12-29,5.6619
2021-12-30,5.5805
2021-12-31,5.5805
2022-01-03,5.6309
2022-01-04,5.6776
2022-01-05,5.6628
2022-01-06,5.7042
2022-01-07,5.6753
2022-01-10,5.6736
2022-01-11,5.6351
2022-01-12,5.5611
2022-01-13,5.5246
2022-01-14,5.5349
2022-01-17,5.5058
2022-01-18,5.5213
2022-01-19,5.4978
2022-01-20,5.4166
2022-01-21,5.4401
2022-01-24,5.491
2022-01-25,5.4971
2022-01-26,5.4324
2022-01-27,5.3812
2022-01-28,5.3954
2022-01-31,5.3574
2022-02-01,5.281
2022-02-02,5.2956
2022-02-03,5.3025
2022-02-04,5.3284
2022-02-07,5.2913
2022-02-08,5.2699
2022-02-09,5.2735
2022-02-10,5.2101
2022-02-11,5.1987
2022-02-14,5.2106
2022-02-15,5.1881
2022-02-16,5.163
2022-02-17,5.1565
2022-02-18,5.1339
2022-02-21,5.0997
2022-02-22,5.0611
2022-02-23,5.0143
2022-02-24,5.1174
2022-02-25,5.1394
2022-03-02,5.1347
2022-03-03,5.0479
2022-03-04,5.0758
2022-03-07,5.0579
2022-03-08,5.0903
2022-03-09,5.0094
2022-03-10,5.0513
2022-03-11,5.0255
2022-03-14,5.0647
2022-03-15,5.1314
2022-03-16,5.1287
2022-03-17,5.0764
2022-03-18,5.0411
2022-03-21,4.9666
2022-03-22,4.9208
2022-03-23,4.8704
2022-03-24,4.8067
2022-03-25,4.7782
2022-03-28,4.7905
2022-03-29,4.7486
2022-03-30,4.7497
2022-03-31,4.7378
2022-04-01,4.6984
2022-04-04,4.6175
2022-04-05,4.64
2022-04-06,4.6967
2022-04-07,4.7422
2022-04-08,4.7513
2022-04-11,4.7025
2022-04-12,4.6483
2022-04-13,4.6811
2022-04-14,4.7158
2022-04-18,4.6746
2022-04-19,4.6664
2022-04-20,4.6397
2022-04-22,4.7326
2022-04-25,4.8818
2022-04-26,4.9666
2022-04-27,5.0167
2022-04-28,5.011
2022-04-29,4.9191
2022-05-02,5.0266
2022-05-03,5.0167
2022-05-04,5.0093
2022-05-05,5.0051
2022-05-06,5.075
2022-05-09,5.134
2022-05-10,5.139
2022-05-11,5.1244
2022-05-12,5.1482
2022-05-13,5.1075
2022-05-16,5.0666
2022-05-17,4.9676
2022-05-18,4.9592
2022-05-19,4.9198
2022-05-20,4.8777
2022-05-23,4.7973
2022-05-24,4.8106
2022-05-25,4.8359
2022-05-26,4.7967
2022-05-27,4.7434
2022-05-30,4.7216
2022-05-31,4.7289
2022-06-01,4.7765
2022-06-02,4.7879
2022-06-03,4.7956
2022-06-06,4.7839
2022-06-07,4.8909
2022-06-08,4.8711
2022-06-09,4.8951
2022-06-10,4.9836
2022-06-13,5.1033
2022-06-14,5.1203
2022-06-15,5.1119
2022-06-17,5.1313
2022-06-20,5.1641
2022-06-21,5.1462
2022-06-22,5.1509
2022-06-23,5.1833
2022-06-24,5.2334
2022-06-27,5.2214
2022-06-28,5.2179
2022-06-29,5.2268
2022-06-30,5.238
2022-07-01,5.3142
2022-07-04,5.3038
2022-07-05,5.3899
2022-07-06,5.4321
2022-07-07,5.364
2022-07-08,5.3086
2022-07-11,5.3477
2022-07-12,5.412
2022-07-13,5.3992
2022-07-14,5.4568
2022-07-15,5.4014
2022-07-18,5.3675
2022-07-19,5.3904
2022-07-20,5.4288
2022-07-21,5.475
2022-07-22,5.4522
2022-07-25,5.4144
2022-07-26,5.3608
2022-07-27,5.3074
2022-07-28,5.2149
2022-07-29,5.1884
2022-08-01,5.1606
2022-08-02,5.2329
2022-08-03,5.2846
2022-08-04,5.2409
2022-08-05,5.2165
2022-08-08,5.1247
2022-08-09,5.1224
2022-08-10,5.0497
2022-08-11,5.1127
2022-08-12,5.1023
2022-08-15,5.0925
2022-08-16,5.134
2022-08-17,5.1784
2022-08-18,5.1773
2022-08-19,5.1961
2022-08-22,5.1709
2022-08-23,5.103
2022-08-24,5.105
2022-08-25,5.1173
2022-08-26,5.0903
2022-08-29,5.0428
2022-08-30,5.0617
2022-08-31,5.179
2022-09-01,5.2007
2022-09-02,5.1878
2022-09-05,5.1686
2022-09-06,5.2228
2022-09-08,5.2155
2022-09-09,5.1633
2022-09-12,5.1183
2022-09-13,5.1794
2022-09-14,5.1774
2022-09-15,5.2211
2022-09-16,5.2882
2022-09-19,5.2367
2022-09-20,5.1705
2022-09-21,5.1692
2022-09-22,5.1677
2022-09-23,5.2257
2022-09-26,5.3548
2022-09-27,5.3508
2022-09-28,5.3594
2022-09-29,5.3916
2022-09-30,5.4066
2022-10-03,5.2002
2022-10-04,5.1411
2022-10-05,5.2144
2022-10-06,5.2009
2022-10-07,5.2221
2022-10-10,5.1941
2022-10-11,5.2068
2022-10-13,5.3017
2022-10-14,5.2824
2022-10-17,5.2713
2022-10-18,5.2697
2022-10-19,5.2808
2022-10-20,5.2176
2022-10-21,5.1919
2022-10-24,5.2744
2022-10-25,5.3091
2022-10-26,5.3248
2022-10-27,5.3003
2022-10-28,5.3454
2022-10-31,5.257
2022-11-01,5.15
2022-11-03,5.1349
2022-11-04,5.036
2022-11-07,5.0886
2022-11-08,5.1744
2022-11-09,5.1629
2022-11-10,5.3064
2022-11-11,5.3051
2022-11-14,5.3013
2022-11-16,5.3204
2022-11-17,5.4655
2022-11-18,5.3477
2022-11-21,5.3259
2022-11-22,5.3339
2022-11-23,5.393
2022-11-24,5.3149
2022-11-25,5.3508
2022-11-28,5.3796
2022-11-29,5.3076
2022-11-30,5.2941
2022-12-01,5.1948
2022-12-02,5.1974
2022-12-05,5.2464
2022-12-06,5.2396
2022-12-07,5.2208
2022-12-08,5.2091
2022-12-09,5.2396
2022-12-12,5.3066
2022-12-13,5.2669
2022-12-14,5.3406
2022-12-15,5.3183
2022-12-16,5.2806
2022-12-19,5.316
2022-12-20,5.2427
2022-12-21,5.2031
2022-12-22,5.1871
2022-12-23,5.1445
2022-12-26,5.1872
2022-12-27,5.2832
2022-12-28,5.2736
2022-12-29,5.2177
2022-12-30,5.2177
2023-01-02,5.3436
2023-01-03,5.3759
2023-01-04,5.4459
2023-01-05,5.4026
2023-01-06,5.2855
2023-01-09,5.2967
2023-01-10,5.2395
2023-01-11,5.202
2023-01-12,5.14
2023-01-13,5.1146
2023-01-16,5.1115
2023-01-17,5.1203
2023-01-18,5.0909
2023-01-19,5.2144
2023-01-20,5.1986
2023-01-23,5.1922
2023-01-24,5.1696
2023-01-25,5.1042
2023-01-26,5.0951
2023-01-27,5.0767
2023-01-30,5.0959
2023-01-31,5.0993
2023-02-01,5.0721
2023-02-02,4.9901
2023-02-03,5.103
2023-02-06,5.1763
2023-02-07,5.1695
2023-02-08,5.2036
2023-02-09,5.2315
2023-02-10,5.2526
2023-02-13,5.1834
2023-02-14,5.1507
2023-02-15,5.2243
2023-02-16,5.2432
2023-02-17,5.2012
2023-02-22,5.173
2023-02-23,5.133
2023-02-24,5.1791
2023-02-27,5.196
2023-02-28,5.2078
2023-03-01,5.207
2023-03-02,5.208
2023-03-03,5.2037
2023-03-06,5.197
2023-03-07,5.1901
2023-03-08,5.1387
2023-03-09,5.1353
2023-03-10,5.1822
2023-03-13,5.24
2023-03-14,5.2362
2023-03-15,5.2981
2023-03-16,5.2892
2023-03-17,5.2679
2023-03-20,5.2467
2023-03-21,5.2444
2023-03-22,5.2648
2023-03-23,5.2632
2023-03-24,5.2921
2023-03-27,5.2306
2023-03-28,5.1733
2023-03-29,5.1493
2023-03-30,5.1254
2023-03-31,5.0804
2023-04-03,5.0637
2023-04-04,5.0762
2023-04-05,5.0447
2023-04-06,5.0683
2023-04-10,5.0834
2023-04-11,5.0128
2023-04-12,4.9496
2023-04-13,4.9097
2023-04-14,4.9455
2023-04-17,4.9421
2023-04-18,4.9678
2023-04-19,5.0467
2023-04-20,5.0497
2023-04-24,5.0595
2023-04-25,5.0613
2023-04-26,5.0585
2023-04-27,5.015
2023-04-28,5.0007
2023-05-02,5.0334
2023-05-03,5.0227
2023-05-04,5.0106
2023-05-05,4.9696
2023-05-08,4.9696
2023-05-09,5.0007
2023-05-10,4.9547
2023-05-11,4.9696
2023-05-12,4.9234
2023-05-15,4.9103
2023-05-16,4.9122
2023-05-17,4.9513
2023-05-18,4.9647
2023-05-19,4.9858
2023-05-22,4.968
2023-05-23,4.9674
2023-05-24,4.9474
2023-05-25,4.999
2023-05-26,5.0114
2023-05-29,4.9954
2023-05-30,5.0593
2023-05-31,5.0959
2023-06-01,5.035
2023-06-02,4.9558
2023-06-05,4.9236
2023-06-06,4.9292
2023-06-07,4.9119
2023-06-09,4.8922
2023-06-12,4.8832
2023-06-13,4.8533
2023-06-14,4.8462
2023-06-15,4.8222
2023-06-16,4.8286
2023-06-19,4.7803
2023-06-20,4.793
2023-06-21,4.7795
2023-06-22,4.775
2023-06-23,4.7799
2023-06-26,4.7698
2023-06-27,4.7903
2023-06-28,4.8563
2023-06-29,4.8584
2023-06-30,4.8192
2023-07-03,4.7876
2023-07-04,4.8056
2023-07-05,4.8577
2023-07-06,4.8977
2023-07-07,4.8799
2023-07-10,4.8735
2023-07-11,4.8949
2023-07-12,4.8058
2023-07-13,4.8038
2023-07-14,4.7957
2023-07-17,4.8302
2023-07-18,4.804
2023-07-19,4.8
2023-07-20,4.7888
2023-07-21,4.7732
2023-07-24,4.7457
2023-07-25,4.7496
2023-07-26,4.7368
2023-07-27,4.7202
2023-07-28,4.7253
2023-07-31,4.7415
2023-08-01,4.7752
2023-08-02,4.8083
2023-08-03,4.8797
2023-08-04,4.8609
2023-08-07,4.901
2023-08-08,4.9217
2023-08-09,4.9015
2023-08-10,4.8518
2023-08-11,4.8918
2023-08-14,4.9481
2023-08-15,4.9812
2023-08-16,4.9772
2023-08-17,4.9816
2023-08-18,4.9724
2023-08-21,4.9847
2023-08-22,4.9431
2023-08-23,4.8977
2023-08-24,4.8748
2023-08-25,4.8772
2023-08-28,4.8938
2023-08-29,4.8706
2023-08-30,4.8653
2023-08-31,4.9219
2023-09-01,4.9318
2023-09-04,4.9176
2023-09-05,4.9705
2023-09-06,4.9762
2023-09-08,4.9835
2023-09-11,4.9366
2023-09-12,4.9505
2023-09-13,4.9171
2023-09-14,4.8751
2023-09-15,4.8689
2023-09-18,4.8535
2023-09-19,4.8575
2023-09-20,4.8487
2023-09-21,4.9229
2023-09-22,4.9131
2023-09-25,4.9606
2023-09-26,4.9717
2023-09-27,5.0289
2023-09-28,5.0475
2023-09-29,5.0076
2023-10-02,5.0679
2023-10-03,5.11
2023-10-04,5.1526
2023-10-05,5.1713
2023-10-06,5.1918
2023-10-09,5.1666
2023-10-10,5.0862
2023-10-11,5.0496
2023-10-13,5.0625
2023-10-16,5.0618
2023-10-17,5.0384
2023-10-18,5.0568
2023-10-19,5.054
2023-10-20,5.0528
2023-10-23,5.0164
2023-10-24,5.0065
2023-10-25,4.9981
2023-10-26,5.0055
2023-10-27,4.948
2023-10-30,5.0074
2023-10-31,5.0575
2023-11-01,5.0194
2023-11-03,4.891
2023-11-06,4.8999
2023-11-07,4.867
2023-11-08,4.8855
2023-11-09,4.9007
2023-11-10,4.9219
2023-11-13,4.9247
2023-11-14,4.8682
2023-11-16,4.8575
2023-11-17,4.8849
2023-11-20,4.8723
2023-11-21,4.8806
2023-11-22,4.8968
2023-11-23,4.8931
2023-11-24,4.8927
2023-11-27,4.8951
2023-11-28,4.8867
2023-11-29,4.8933
2023-11-30,4.9355
2023-12-01,4.9191
2023-12-04,4.9091
2023-12-05,4.9522
2023-12-06,4.9031
2023-12-07,4.8949
2023-12-08,4.9158
2023-12-11,4.944
2023-12-12,4.9476
2023-12-13,4.958
2023-12-14,4.8912
2023-12-15,4.9397
2023-12-18,4.9399
2023-12-19,4.8663
2023-12-20,4.8766
2023-12-21,4.8755
2023-12-22,4.8619
2023-12-26,4.8368
2023-12-27,4.8306
2023-12-28,4.8413
2023-12-29,4.8413
2024-01-02,4.8916
2024-01-03,4.9212
2024-01-04,4.9188
2024-01-05,4.8899
2024-01-08,4.885
2024-01-09,4.8937
2024-01-10,4.8901
2024-01-11,4.8794
2024-01-12,4.8543
2024-01-15,4.8765
2024-01-16,4.9038
2024-01-17,4.9346
2024-01-18,4.9403
2024-01-19,4.9223
2024-01-22,4.949
2024-01-23,4.9715
2024-01-24,4.9192
2024-01-25,4.9232
2024-01-26,4.9125
2024-01-29,4.9225
2024-01-30,4.9638
2024-01-31,4.9535
2024-02-01,4.935
2024-02-02,4.9471
2024-02-05,5.0053
2024-02-06,4.9687
2024-02-07,4.9608
2024-02-08,4.9804
2024-02-09,4.9717
2024-02-14,4.9723
2024-02-15,4.971
2024-02-16,4.9761
2024-02-19,4.9585
2024-02-20,4.9408
2024-02-21,4.9303
2024-02-22,4.9419
2024-02-23,4.9851
2024-02-26,4.9819
2024-02-27,4.9575
2024-02-28,4.9557
2024-02-29,4.9833
2024-03-01,4.9596
2024-03-04,4.9475
2024-03-05,4.9488
2024-03-06,4.9398
2024-03-07,4.9364
2024-03-08,4.9751
2024-03-11,4.9777
2024-03-12,4.9813
2024-03-13,4.9803
2024-03-14,4.9768
2024-03-15,4.9937
2024-03-18,5.0124
2024-03-19,5.0352
2024-03-20,5.012
2024-03-21,4.9807
2024-03-22,4.9897
2024-03-25,4.9869
2024-03-26,4.987
2024-03-27,4.9856
2024-03-28,4.9962
2024-04-01,5.0532
2024-04-02,5.0476
2024-04-03,5.0724
2024-04-04,5.0237
2024-04-05,5.052
2024-04-08,5.0421
2024-04-09,5.008
2024-04-10,5.0654
2024-04-11,5.0765
2024-04-12,5.1364
2024-04-15,5.1746
2024-04-16,5.2635
2024-04-17,5.2469
2024-04-18,5.2512
2024-04-19,5.2269
2024-04-22,5.2043
2024-04-23,5.1626
2024-04-24,5.1592
2024-04-25,5.1679
2024-04-26,5.1184
2024-04-29,5.1155
2024-04-30,5.1718
2024-05-02,5.1184
2024-05-03,5.0668
2024-05-06,5.0727
2024-05-07,5.061
2024-05-08,5.0887
2024-05-09,5.1577
2024-05-10,5.1464
2024-05-13,5.1412
2024-05-14,5.1356
2024-05-15,5.1423
2024-05-16,5.127
2024-05-17,5.1157
2024-05-20,5.1085
2024-05-21,5.1037
2024-05-22,5.1502
2024-05-23,5.1443
2024-05-24,5.1508
2024-05-27,5.1704
2024-05-28,5.1538
2024-05-29,5.1972
2024-05-31,5.2416
2024-06-03,5.2373
2024-06-04,5.2687
2024-06-05,5.2841
2024-06-06,5.2681
2024-06-07,5.2802
2024-06-10,5.3666
2024-06-11,5.3524
2024-06-12,5.3891
2024-06-13,5.3974
2024-06-14,5.363
2024-06-17,5.413
2024-06-18,5.4074
2024-06-19,5.4647
2024-06-20,5.4254
2024-06-21,5.4416
2024-06-24,5.4
2024-06-25,5.429
2024-06-26,5.5097
2024-06-27,5.5229
2024-06-28,5.5589
2024-07-01,5.5893
2024-07-02,5.6677
2024-07-03,5.5863
2024-07-04,5.4839
2024-07-05,5.497
2024-07-08,5.472
2024-07-09,5.4387
2024-07-10,5.3967
2024-07-11,5.41
2024-07-12,5.4529
2024-07-15,5.4563
2024-07-16,5.4274
2024-07-17,5.467
2024-07-18,5.5426
2024-07-19,5.5543
2024-07-22,5.5598
2024-07-23,5.5807
2024-07-24,5.6346
2024-07-25,5.6402
2024-07-26,5.6465
2024-07-29,5.6479
2024-07-30,5.6532
2024-07-31,5.6621
2024-08-01,5.6681
2024-08-02,5.7366
2024-08-05,5.7646
2024-08-06,5.6528
2024-08-07,5.6093
2024-08-08,5.6172
2024-08-09,5.5115
2024-08-12,5.4911
2024-08-13,5.4875
2024-08-14,5.4502
2024-08-15,5.4651
2024-08-16,5.4632
2024-08-19,5.4237
2024-08-20,5.4547
2024-08-21,5.4707
2024-08-22,5.5524
2024-08-23,5.5263
2024-08-26,5.4921
2024-08-27,5.4969
2024-08-28,5.5315
2024-08-29,5.6358
2024-08-30,5.6562
2024-09-02,5.623
2024-09-03,5.6224
2024-09-04,5.6359
2024-09-05,5.6049
